Customer_ID,Customer_Name,Customer_Email,Customer_Phone,Customer_Address,Product_Interest,Partner_Status,Owner_Connection_Interest
7092225,พันเกล้า ภูภักดี,fthaawraayusm@example.com,090-042-7606,694/1 ถนนทองลาภ ต.พระรักษ์กลาง อ.พรเจริญ จ.พิษณุโลก 16430,สินเชื่อส่วนบุคคล,Inactive,True
57317590,โกวิทย์ ทองสุกเลิศ,buyyaamii70@example.net,0908768387,50 ถ.นพตระกูล บางแคใต้ ปากคาด สงขลา 27580,สินเชื่อธุรกิจ,Inactive,True
21946306,สมใจ ศรีตะวัน,vnaakhwngs@example.org,041 112791,3/3 ถนนธนประทีป อำเภอบ้านแพง จังหวัดสกลนคร 74990,สินเชื่อบ้าน,Prospect,True
42928389,โชติวุฒิ นามขำ,ruuaikyah04@example.com,0940718284,50/3 ถนนแท่นทอง ต.บางแคใหญ่ อ.เกษตรสมบูรณ์ จ.น่าน 75220,สินเชื่อบ้าน,Inactive,False
51963159,วรปรัชญ์ ไทยสุชาต,buyykalp10@example.com,+66 884 025 672,38 หมู่ 17 ถนนนับเนื่องนอ ตำบลบางดี อำเภอนาแก ชัยภูมิ 50250,สินเชื่อส่วนบุคคล,Inactive,True
42758022,เฉลิมรัตน์ นานายน,cchdtraachuu@example.net,+663 764 8471,826 ถ.ทองปากน้ำ ตำบลเปือยใหญ่ อำเภอแม่สรวย ตาก 82200,สินเชื่อบ้าน,Prospect,True
76328597,วรรณาต ไสยกิจ,phdungphl07@example.com,040 575717,92 ถ.ถนัดภาษา ตำบลหัวงัว อำเภอเขาสมิง ร้อยเอ็ด 54240,สินเชื่อรถยนต์,Inactive,True
90109415,เขียว ร่มธิติรัตน์,aimaedngthiphywaarii@example.net,042137709,542 ถนนนพตระกูล ตำบลดอนสมบูรณ์ อำเภอบ้านแท่น กทม. 61260,สินเชื่อรถยนต์,Active,False
90371538,ทิมาภรณ์ วุฑฒยากร,thnmmnusyhlakthraphy@example.com,0-5260-1376,50 หมู่ 02 ถ.ทองประดิฐ อ.โพนสวรรค์ จ.ปทุมธานี 21680,ประกัน,Active,True
67366584,จันทนา ธูปะวิโรจน์,kpaansuwrrn@example.com,0-2124-6295,012/07 ถ.ถมังรักษสัตว์ แก้งคร้อ สมุทรสาคร 85870,สินเชื่อบ้าน,Active,True
71345391,พิพิธธน เยาวธนโชค,nimuthmangrakssatw@example.org,+66 (0) 658 294 963,616 ถ.บุณยะภาชน์ เมือง พัทลุง 57360,สินเชื่อธุรกิจ,Active,True
47003796,พีรพัฒน์ นาถะเดชะ,ekiiyrtikngephiiyyaa@example.com,053820733,434 ถนนถนิมมาศ ตำบลท่างิ้วใต้ อำเภอโพนสวรรค์ ชลบุรี 24740,บัตรเครดิต,Active,False
41184691,ณัฐธิตา แถมธน,bbunyaaphisnth@example.org,0-4682-5742,14 ถนนนุชแนวนุ่ม ตำบลพะโต๊ะ อำเภอเกษตรสมบูรณ์ เลย 29320,สินเชื่อบ้าน,Active,True
82864246,คณภรณ์ ถิรสวัสดิ์,triiephrinthrwirsakdi@example.net,+66 992 189 264,03/8 ถ.ดีตพันธุ์ ทุ่งต่อ นครนายก 97950,สินเชื่อบ้าน,Prospect,True
99942593,พรพิไล วาทา,whmsin@example.org,0 691 420 525,0 ถนนนิลเสนา อ.บึงกุ่ม จ.แม่ฮ่องสอน 26100,สินเชื่อรถยนต์,Inactive,False
36864867,ณิชเชฏฐ์ เลขะพันธุ์,thatthnbuybamrung@example.org,0 815 082 800,81 ถนนตัณสถิตย์ เกาะโพธิ์ บึงกุ่ม เพชรบูรณ์ 64400,สินเชื่อรถยนต์,Active,True
41274601,ขอดิเยาะ นาคสุทิน,wrinththithr76@example.net,0 2361 1380,95 ถ.แจ้งสว่าง ปากแจ่มกลาง เกษตรสมบูรณ์ ปัตตานี 31590,บัตรเครดิต,Prospect,True
80003672,ฐิติวุฒิ บุนยะศัพท์,wirchaybunyaphaachn@example.com,0644855451,81 หมู่ 65 ถนนนาคะนคร เทพศิรินทร์ นาทม ชุมพร 75490,สินเชื่อรถยนต์,Active,True
11855554,เทียมศักดิ์ แน่นดุจป้อม,enchaa99@example.org,+66 917 101 967,96/74 ถนนอัตตนาถ นาแก สกลนคร 32530,ประกัน,Inactive,False
28955878,สุภัทริดา ดาวกระจาย,piyachaati60@example.com,0 7164 6437,51 ถนนเวียงจันทึก ต.เนินขาม อ.สะพานสูง จ.เพชรบุรี,สินเชื่อธุรกิจ,Prospect,False
98451620,เจษฏาภรณ์ พรสีมา,ythaaraathr@example.net,026985959,94/49 ถนนมนทอง ตำบลบางแค อำเภอเทิง จังหวัดฉะเชิงเทรา 40820,สินเชื่อธุรกิจ,Prospect,True
56731231,ศิรณัฐ ทองสุกเลิศ,maarudsriiun@example.net,0850771696,58 หมู่ 7 ถ.แน่นดุจป้อม บางปะกอก ปลาปาก สมุทรปราการ 24510,สินเชื่อธุรกิจ,Active,False
64271843,สุภาพร ติระคมน์,thraphysaaraychay@example.com,058813510,84 หมู่ 08 ถนนธรรมฤดี อุทัยธานี 26020,บัตรเครดิต,Prospect,False
69962511,ถนอมชัย บุนยาภิสนท์,rkiieyaaa11@example.com,0 3685 0085,150 ถ.นุ่มกัน ตำบลยางตลาด อำเภอคลองใหญ่ จังหวัดอุทัยธานี 75260,สินเชื่อบ้าน,Inactive,True
10592114,ผดุงพล นิยมสำหรวจ,supraaniithrrmniym@example.net,0 7753 9315,405/34 ถนนถนอมมนุษย์ ต.โนนสูงใหญ่ อ.ป้อมปราบศัตรูพ่าย จ.ปัตตานี 51400,สินเชื่อส่วนบุคคล,Active,False
47979931,ผดุงชาติ นิยมเซียม,xtantraacchin@example.net,0-4851-6594,77 ถ.ถนัดหัตถกรรม ตำบลก้อนแก้ว อำเภอเรณูนคร อุตรดิตถ์ 68950,สินเชื่อบ้าน,Active,True
77218917,ทวีวัฒน์ นามขำ,phimphpraphaaaetkul@example.org,+66 (0) 3289 7739,579 ถนนบุญบำรุง หนองบัวระเหว ประจวบคีรีขันธ์ 98970,สินเชื่อธุรกิจ,Active,False
73746974,สิริกานต์ ตั้งกุลงาม,aehymsiriphuumipayyaa@example.net,0-7923-3583,82 ถนนถนัดการเขียน ต.นาวงเหนือ อ.สามโคก กรุงเทพมหานคร 46340,สินเชื่อธุรกิจ,Prospect,False
82078803,จิตรลดา ดิศดใน,ethiiyraayanthiirthwanaay@example.com,0914526495,12 หมู่ 5 ถ.ดิสกะประกาย ต.บางกุ้งกลาง อ.นาทม ยะลา 22620,สินเชื่อรถยนต์,Prospect,True
47894989,สุภาลินี ธนูปกรณ์,ekhmcchiraa37@example.net,068 688 0545,4/2 ถนนเพียยา ต.ก้อนแก้ว อ.แม่ลาว นนทบุรี 87570,ประกัน,Inactive,True
47386035,สุภาพร ธูปหอม,priichaakulesrsththiwatr@example.com,0-3408-6002,58 หมู่ 1 ถนนดุริยพันธุ์ อ.แม่ลาว ยะลา 91480,สินเชื่อรถยนต์,Inactive,True
61893902,ฟิรยา วุฑฒยากร,aenwphyaaphichaaphph@example.net,0 5507 5882,7/8 ถนนนิยมเซียม ตำบลท่างิ้ว จังหวัดกาฬสินธุ์ 53470,สินเชื่อส่วนบุคคล,Prospect,True
86028961,ปิยะนันท์ ธรรมทินนา,ybutraach@example.net,+664 635 1706,89 หมู่ 35 ถ.ถนัดการยนต์ อ.ห้วยขวาง สมุทรปราการ 96390,ประกัน,Inactive,True
2351332,อัญพัชร์ ขุนดำ,ethungengin@example.net,0 3580 3865,70 ถ.เนื่องนนท์ ต.บางกุ้ง อ.เรณูนคร สระแก้ว 90960,สินเชื่อบ้าน,Inactive,True
36568045,เขมจิรา นฤทุกข์,uthayesthiiyr@example.com,0-2568-4275,307 ถนนทรงโกมล อำเภอสะพานสูง เพชรบูรณ์ 58690,สินเชื่อธุรกิจ,Inactive,True
38022585,มาโนชญ์ นพคเชนทร์,bindiipraaiphphaktr@example.org,091-667-3970,29 หมู่ 26 ถนนทุมะบุตร์ มุกดาหาร 82060,สินเชื่อบ้าน,Active,False
48488838,พิพิธธน เลขะพันธุ์,phaaneklaacchilaaphrn@example.com,083-490-8768,62/12 ถ.ดิศดใน ต.อิตื้อ อ.บ่อไร่ ลำพูน 70770,ประกัน,Inactive,True
76267297,ศรายุธ วุฑฒยากร,thnadhatthkrrmrkiieyaaa@example.org,0924657970,7/6 ถ.สงประเสริฐ ต.โนนศิลาใหญ่ อ.เวียงป่าเป้า จ.กรุงเทพ 36310,สินเชื่อบ้าน,Inactive,True
54785037,คำมั่น มิ่งขวัญ,muuhammad27@example.org,+66 (0) 5091 8407,874 ถนนหนุนสุข ต.บึงบางกุ้ง จ.สกลนคร 60100,สินเชื่อธุรกิจ,Active,False
62950221,วรรณชนะชัย ทองปากน้ำ,ephiiyngkmlthrrmniym@example.com,+66 4469 5425,5/0 ถนนนิลวิมล อ.เขาสมิง จ.สตูล 62260,ประกัน,Inactive,True
74247222,ไชยภพ เดชคุ้ม,suthaawiitanephaa@example.org,+66 7779 2802,741/54 ถ.แน่นดุจป้อม ต.ปากพลี อ.นาหว้า จ.นครศรีธรรมราช 23930,สินเชื่อส่วนบุคคล,Active,True
52938092,นรีรัตน์ ด้วงโสน,talaphatbuyek@example.net,053069664,852 ถนนเมืองสุข ตำบลสุขเดือนห้า อำเภอเรณูนคร พะเยา 96470,สินเชื่อธุรกิจ,Prospect,False
96156645,พรพิไล ธรรมนิยม,thiwatr23@example.com,076 152190,14 หมู่ 2 ถนนพานเกล้า ต.เขาขาวกลาง อ.วังยาง จ.แพร่,บัตรเครดิต,Inactive,True
34833169,หฤทัย นักสำหรวจ,wrinththithrnilesnaa@example.net,+662 521 4510,61/2 ถ.คณานุรักษ์ ทุ่งต่อเหนือ เวียงป่าเป้า น่าน 68160,สินเชื่อธุรกิจ,Inactive,True
39272373,ศรายุธ ตวงทอง,lophthisaty@example.com,085 186 0871,79 ถ.ตะละภัฏ ภูเขียว จ.สระบุรี 73000,สินเชื่อบ้าน,Active,True
89437590,นพรัตน์ ศรีเผด็จ,thrrmthinnaathnnnth@example.com,+66 (0) 4324 1464,0/4 ซอยนุ่มกัน ต.ท่าเรือเหนือ อ.เมือง ชัยนาท 81540,สินเชื่อบ้าน,Inactive,True
23715305,นารดา ถนัดภาษา,yusrnkhanthulaa@example.net,0 2705 9607,540/6 ถนนเดชคุ้ม ตำบลท่าเรือ อำเภอพรเจริญ พังงา 81750,สินเชื่อบ้าน,Prospect,True
1187097,สหัสมณี ขำเอนก,pracchin51@example.net,07 997 7974,863/5 ถ.สงประเสริฐ ก้อนแก้ว จ.นนทบุรี 88780,สินเชื่อรถยนต์,Prospect,True
87988304,วัลยา เวียงจันทึก,hmsincchanthnaa@example.com,0 657 967 936,15/1 ถนนตระกูลไม้เรียง ต.คลองขาม อ.สะพานสูง จ.พระนครศรีอยุธยา 46970,สินเชื่อรถยนต์,Inactive,True
62722409,อรจิรา ตั้งรบ,suphaaphrthngenuuedii@example.com,+66 (0) 933 868 212,8 ถนนตันเผ่า เนินสง่า จ.อ่างทอง 62410,บัตรเครดิต,Active,True
77015684,อภิลักษณ์ บุนยะตีรณะ,udmlaksn91@example.com,049-531106,1/5 ถ.ฉิมพาลี ต.บางไผ่กลาง อ.โพนสวรรค์ ลพบุรี,สินเชื่อบ้าน,Inactive,True
17570272,ปวีณ ไสยกิจ,akhrphnthdaatuu@example.com,062-659-6839,60/50 ถ.นิลวิมล ตำบลบางกุ้ง อำเภอบ้านแท่น ชุมพร 36660,ประกัน,Prospect,True
22559956,จุฑารัตน์ เจริญรัมย์,hbuyyaaphirmy@example.net,+66 934 467 787,95 หมู่ 88 ถนนปรีชากุลเศรษฐ์ ต.ก้อนแก้ว อ.บ้านเขว้า จ.ประจวบคีรีขันธ์,ประกัน,Prospect,False
95017947,ถนอมชัย ไม้แดง,nimu56@example.net,05 066 8244,5/0 ถ.ติระคมน์ ตำบลป่าสุขเดือนห้า อำเภอบ้านเขว้า กทม. 35300,สินเชื่อบ้าน,Active,True
16495166,หลี ศรีตะวัน,yaphaaphimphsudaa@example.com,+66 (0) 2840 2222,297 ถ.บุญญาไลย์ ต.บึงบางกุ้ง อ.นาหว้า จ.หนองคาย 32850,บัตรเครดิต,Prospect,True
17528606,ยศพงศ์ ธนูปกรณ์,saaraphanthsirinanth@example.com,05 508 4771,6/8 ถนนเขียวขุ้ย ต.บางโรง จ.ปทุมธานี 72810,บัตรเครดิต,Inactive,True
48410928,นาวีตา ถะเกิงชศ,aychaychuusaar@example.net,079-294666,31 หมู่ 6 ถนนทองอยู่ อ.วังยาง สุราษฎร์ธานี 72620,ประกัน,Active,True
10234724,สราญจิตต์ นิลเสนา,butraachwrrnchnachay@example.org,+66 4354 1438,8 ถ.วาทา ต.พระรักษ์ อ.ปลาปาก พะเยา,สินเชื่อบ้าน,Prospect,True
82261924,บุญญามี ทัศนสุทธิ,ephiiyyaaphlphuumi@example.net,0-5059-3562,229/1 ถนนเตมิยะเดช บ้านนาเชือกใหม่ บึงกุ่ม นราธิวาส 13080,สินเชื่อธุรกิจ,Inactive,True
90550236,ประสิทธิ์ ถนอมพลกรัง,suthaawii96@example.net,0920713442,20 ถ.ศรีอุ่น ตำบลคลองเขื่อน อำเภอบางสะพานน้อย กรุงเทพมหานคร 34640,ประกัน,Prospect,False
49832725,ศุภชัย อุลหัสสา,buyphaa39@example.org,0 605 341 516,183 ถ.ไม้แดง ป่าบางไผ่ วังทองหลาง เชียงราย 45840,บัตรเครดิต,Inactive,False
35523105,ดวงจันทร์ ดาตู,aachuuemanitisaakhaa@example.com,+66 (0) 4074 3860,47/3 ถนนนิลสลัว อำเภอบ้านแท่น น่าน 61160,สินเชื่อบ้าน,Inactive,True
32455326,สุมัชญา ตั้งรบ,smml57@example.org,023-570626,799/43 ถนนทองสินธุ์ บางโรง จ.สงขลา 67980,สินเชื่อบ้าน,Inactive,True
11230215,ประไพพักตร์ ดุษฎีวนิช,thwnsriisiri@example.org,0-5421-3089,582/96 ถ.ซาซุม ต.ปังหวาน อ.คลองใหญ่ จ.พิษณุโลก 77430,บัตรเครดิต,Inactive,True
24136069,สัญชาน สาระพันธ์,vtantraacchin@example.org,+66 (0) 5933 1202,10 หมู่ 70 ถนนนครเทพ ตำบลบางปะกอก จังหวัดฉะเชิงเทรา 42230,สินเชื่อส่วนบุคคล,Active,True
8478966,ปิยะชาติ นิยมเซียม,kthngaeth@example.com,+66 3861 2287,983/68 ถ.ปรีชากุลเศรษฐ์ อำเภอเทพสถิต กาญจนบุรี 71720,สินเชื่อธุรกิจ,Active,True
65089391,จิตรลดา เลิศกิ่ง,thngpaaknamchlngchay@example.net,07 563 2839,168 ถ.ติระคมน์ ตำบลบางตลาด อำเภอภักดีชุมพล นครราชสีมา 43510,สินเชื่อธุรกิจ,Active,False
10240425,บุญเกิด ดุริยพันธุ์,aethmthnmuuhamhmadimrn@example.org,+66 641 026 223,0/9 ถนนเธียรายัน ภักดีชุมพล นครปฐม 74480,ประกัน,Active,False
4983060,ซุกรี บินดี,aenwphyaakadiratn@example.com,07 399 5141,11 ถ.แก้วอยู่ อ่างทอง 58750,ประกัน,Prospect,False
86390162,อชิตะวีร์ ทองสุกเลิศ,chaakhiiphatth10@example.net,+66 2987 0829,712 ถนนสุวรรณหงษ์ ต.พะโต๊ะ อ.สามโคก กรุงเทพมหานคร 64290,สินเชื่อบ้าน,Prospect,False
51549522,ชัชนันท์ สังข์กรด,thngpaaknamphakhsuphaangkh@example.org,+665 347 2774,68 หมู่ 98 ถนนมนทอง ต.หนองแสงใต้ อ.เนินสง่า จ.ปราจีนบุรี 79830,สินเชื่อรถยนต์,Active,True
80017515,ปิยะนันท์ อัตตนาถ,phiirphathr86@example.com,037-169217,54/5 ถนนนิลสลัว บัวบาน บ้านแท่น แม่ฮ่องสอน 38580,สินเชื่อรถยนต์,Prospect,False
90958136,ธัญญามาศ วุฑฒยากร,haethnthng@example.net,03 855 7090,65/84 ถ.เดชวา ตำบลบางตลาดใต้ อำเภอบ้านแท่น นครสวรรค์ 92490,ประกัน,Active,True
86727175,ทิพย์วารี ทุมะบุตร์,ecchriyramywaarmuuhamhmad@example.net,+66 900 157 479,221 ถนนนิยมธรรม อ.หนองบัวโคก สมุทรสงคราม 34850,สินเชื่อธุรกิจ,Prospect,True
26324977,ศศิยา เตมิยะเดช,vchimphaalii@example.org,+66 3051 6042,611/00 ถ.เขียวอ่อน อ.เทพสถิต นครศรีธรรมราช 63290,บัตรเครดิต,Prospect,False
98185150,รัฐพงษ์ ศรีตะวัน,waarmuuhamhmadtrakuulaimeriiyng@example.net,+66 (0) 609 883 397,75/10 ถ.ดัตพันธุ์ กาฬสินธุ์ 28630,ประกัน,Active,False
56012057,ดารุนี ตรีครุธพันธุ์,saastrsilpchadchaa@example.net,0 3096 8272,1 ถ.เลิศกิ่ง ตำบลหัวงัว อำเภอวังทองหลาง ตาก 14790,สินเชื่อส่วนบุคคล,Prospect,False
35744878,ณิชาภัทร นฤทุกข์,naakknkpraaiphphaktr@example.net,07 764 1947,88 หมู่ 24 ถนนแท่นทอง สะพานสูง จ.ลพบุรี 88030,สินเชื่อส่วนบุคคล,Prospect,True
65089743,ธัชญา ดุษฎีวนิช,yswathn33@example.net,+66 (0) 946 135 537,166/0 ถ.ดิสกะประกาย อ.ภักดีชุมพล นครสวรรค์ 24740,บัตรเครดิต,Prospect,True
35135397,ใกล้รุ่ง ถนัดรักษา,dwngsmr39@example.org,047356547,209/9 ถ.กุมารบุญ ต.บางไผ่ อ.เขาสมิง เพชรบุรี 63650,สินเชื่อส่วนบุคคล,Inactive,False
77135230,ธเนษฐ พรรษาสกุล,zsriisaty@example.com,+66 4965 9482,12 ถนนนรวิทย์โชติกุล บึงทุ่งต่อใหญ่ ศรีวิไล สระบุรี 68530,ประกัน,Inactive,True
88811580,ปิยนาฎ ตั้งกุลงาม,phanethph82@example.org,+66 7053 7115,04 หมู่ 3 ซอยพีระเพ็ญกุล บางแค จ.กรุงเทพ 39500,บัตรเครดิต,Inactive,True
90505142,เอกวิทย์ ติณรัตน์,cnilslaw@example.com,0 3393 6488,4 ถ.ติณรัตน์ ต.บ้านบางไผ่ อ.บ่อไร่ อ่างทอง 39390,สินเชื่อส่วนบุคคล,Active,True
9193244,สุธาวี เยาวธนโชค,uthwiiedch@example.org,024183474,33 หมู่ 7 ถนนอุลหัสสา อ.นาหว้า สมุทรสาคร 19300,สินเชื่อส่วนบุคคล,Active,False
50841975,คมกริบ ดุษฎีวนิช,haafitnrwithyochtikul@example.org,0814263507,558/0 ถนนนิลสลัว ปากพลี จ.แม่ฮ่องสอน 40370,สินเชื่อธุรกิจ,Prospect,True
