PERSON_ID,FULL_NAME,ROLE,BUSINESS_NAME,PHONE_NUMBER,EMAIL,REGION,PRODUCT_CATEGORY,CREATED_DATE
77,ภูมิปัญญา ทีฆะ,Marketing Specialist,บริษัท นาถะเดชะการช่าง จำกัด จำกัด,+667 632 3227,phrmnsuthinanth@example.com,ระนอง,All,2024-12-03T13:43:04
78,ชรินทร์ทิพย์ นุ่มกัน,Distributor,สมาคมธรรมเมธา จำกัด,0 5158 4710,fedchkhum@example.com,สงขลา,เนื้อหมู,2024-08-19T10:14:24
79,อมัด นากกนก,Sales Manager,หจก.เช้าวันดีเอ็นจิเนียริ่ง มหาชน,0-4876-5781,tirakhmnwirsakdi@example.net,สุพรรณบุรี,เนื้อวัว,2024-02-29T16:50:36
80,ยุศรอน ขำเอนก,Distributor,บริษัท บุญญาไลย์ จำกัด จำกัด,0 4724 0771,etchakamphuchaakhiiphatth@example.org,อ่างทอง,ปลา,2023-08-03T19:35:58
81,วิถี ศิวะวรเวท,Sales Manager,ศรีอุ่นจิวเวลรี่ จำกัด,084-586-9861,khamenkmad@example.org,สิงห์บุรี,ปลา,2024-08-12T13:19:35
82,คมคาย ตรีเภรินทร์,Regional Manager,บมจ.ไทไชโย จำกัด,080-575-8773,pphrsiimaa@example.net,มุกดาหาร,ผัก,2025-03-21T05:16:20
83,วัลยา หิรัญสาลี,Customer Support,นิยมเซียมกรุ๊ป มหาชน,085-416-7492,atanephaa@example.com,เชียงราย,เนื้อหมู,2023-03-31T16:18:14
84,ฟิรยา เจริญรัมย์,Customer Support,บริษัท ถาวรรัตนกรุ๊ป จำกัด มหาชน,048 367948,hnaameswtr@example.net,กรุงเทพ,เนื้อวัว,2023-03-28T01:41:06
85,สรรเพชญ์ นฤทุกข์,Regional Manager,บมจ.หอมพิกุลอิมปอร์ตเอ็กซปอร์ต จำกัด,+66 836 796 722,bnkthng@example.net,ลำปาง,สินค้าเกษตรอื่นๆ,2023-04-22T16:57:42
86,ณัฐธิตา นรวิทย์โชติกุล,Marketing Specialist,บมจ.ตราชูแพคกิ้ง มหาชน,05 603 5801,gaekwyuu@example.org,นครพนม,เนื้อไก่,2023-08-31T04:19:39
87,เกริกพล เณรานุสนธิ์,Distributor,บริษัท จ้อยนุแสงอิมปอร์ตเอ็กซปอร์ต จำกัด จำกัด,053-683539,raecchngswaang@example.net,บุรีรัมย์,All,2025-01-27T02:28:38
88,มาสิตะ บุนยาภิสนท์,Regional Manager,มูลนิธิดุษฎีวนิช มหาชน,022-296378,vyaphaa@example.com,ร้อยเอ็ด,ผัก,2023-08-09T06:27:56
89,สันชัย บุญญาไลย์,Distributor,ห้างหุ้นส่วนจำกัด ศรทองอะไหล่ยนต์ มหาชน,+66 (0) 688 815 225,btangrb@example.net,กรุงเทพ,สินค้าเกษตรอื่นๆ,2024-02-04T15:05:33
90,วิรศักดิ์ ฉายแสง,Customer Support,หจก.ศรีอุ่น มหาชน,+66 3790 9432,thinphr36@example.org,ร้อยเอ็ด,All,2025-02-01T12:55:41
91,ปิยวดี ศรีเผด็จ,Customer Support,ห้างหุ้นส่วนสามัญ ทหารแท้ มหาชน,096 095 2721,triinuch44@example.net,ขอนแก่น,ผัก,2024-12-03T02:05:22
92,ธนนนท์ นุ่มกัน,Marketing Specialist,จันทาบรรจุภัณฑ์ มหาชน,+66 (0) 670 475 203,triinuch66@example.org,หนองคาย,สินค้าเกษตรอื่นๆ,2023-08-01T02:18:48
93,จีรยุทธ นักสำหรวจ,Distributor,บริษัท นิลสุวรรณ์ จำกัด จำกัด,+66 (0) 5594 8432,wthngsiiaiphl@example.org,ปราจีนบุรี,เนื้อไก่,2024-01-10T22:34:14
94,ไชยภพ ดวงทับทิม,Sales Manager,นาคสุทินการบัญชี มหาชน,+663 107 6344,cyaangswy@example.net,พัทลุง,เนื้อวัว,2024-05-17T16:51:05
95,ปวีณ ไทนิยม,Regional Manager,บริษัท ศรีสัตย์วิศวการ จำกัด มหาชน,051 047664,anthikaa47@example.com,ภูเก็ต,All,2023-06-24T23:44:43
96,สมพิศ แหยมศิริ,Regional Manager,บริษัท ถนอมกุลบุตร จำกัด จำกัด,0 932 565 161,wtriiephrinthr@example.com,สงขลา,ปลา,2023-11-02T02:58:36
97,อริสรา นิยมสำหรวจ,Marketing Specialist,บริษัท แจ้งสว่าง จำกัด มหาชน,073923428,haanaafii29@example.com,นราธิวาส,เนื้อหมู,2023-07-13T01:56:05
98,ศิรณัฐ ธรรมฤดี,Customer Support,บริษัท ธูปหอม จำกัด (มหาชน) มหาชน,04 638 8233,gniymsamhrwcch@example.net,พิจิตร,ผัก,2023-05-24T22:25:54
99,ณิชาภัทร เดชคุ้ม,Customer Support,บริษัท นิยมธรรม จำกัด มหาชน,036-612034,mnasnphkhechnthr@example.org,ศรีสะเกษ,ปลา,2023-08-19T01:47:55
100,รัฐพงษ์ แถมธน,Customer Support,ธนาคารแหยมศิริจิวเวลรี่ จำกัด จำกัด,0-4073-0438,ekiiyrtikng24@example.net,พะเยา,ปลา,2023-07-18T14:53:50
